adj,noun,f,ipm
"русский","банан",1, 0.01030
"русский","княжна",1, 0.01030
"русский","аферист",1, 0.01030
"русский","красавец",1, 0.01030
"русский","сериал",1, 0.01030
"русский","поклонник",1, 0.01030
"русский","хип-хоп",1, 0.01030
"русский","наружка",1, 0.01030
"русский","вандал",1, 0.01030
"русский","фасон",1, 0.01030
"русский","гриб",1, 0.01030
"русский","погода",1, 0.01030
"русский","фото",1, 0.01030
"русский","внешность",1, 0.01030
"русский","катька",1, 0.01030
"русский","месяцеслов",1, 0.01030
"русский","детектив",1, 0.01030
"русский","фиша",1, 0.01030
"русский","олимпиада",1, 0.01030
"русский","л",1, 0.01030
"русский","свидетель",1, 0.01030
"русский","трехлинейка",1, 0.01030
"русский","поместье",1, 0.01030
"русский","минер",1, 0.01030
"русский","понятие",1, 0.01030
"русский","гривенник",1, 0.01030
"русский","святыня",1, 0.01030
"русский","мальчиков",1, 0.01030
"русский","тюрьма",1, 0.01030
"русский","уклон",1, 0.01030
"русский","бизнесмен",1, 0.01030
"русский","елка",1, 0.01030
"русский","поэтесса",1, 0.01030
"русский","мелодия",1, 0.01030
"русский","разбойник",1, 0.01030
"русский","сережа",1, 0.01030
"русский","отдел",1, 0.01030
"русский","представительство",1, 0.01030
"русский","листочек",1, 0.01030
"русский","житель",1, 0.01030
"русский","гитара",1, 0.01030
"русский","хам",1, 0.01030
"русский","экскурсия",1, 0.01030
"русский","преступник",1, 0.01030
"русский","американец",1, 0.01030
"русский","чайная",1, 0.01030
"русский","любовь",1, 0.01030
"русский","адвокат",1, 0.01030
"русский","киноартист",1, 0.01030
"русский","дядечка",1, 0.01030
"русский","стратегия",1, 0.01030
"русский","ссыльный",1, 0.01030
"русский","коммивояжер",1, 0.01030
"русский","гривна",1, 0.01030
"русский","интерес",1, 0.01030
"русский","патриотизм",1, 0.01030
"русский","окончание",1, 0.01030
"русский","барчонок",1, 0.01030
"русский","водочка",1, 0.01030
"русский","ресторанчик",1, 0.01030
"русский","жулик",1, 0.01030
"русский","богач",1, 0.01030
"русский","супершпион",1, 0.01030
"русский","первопечатник",1, 0.01030
"русский","шлюпка",1, 0.01030
"русский","обед",1, 0.01030
"русский","паспорт",1, 0.01030
"русский","корвет",1, 0.01030
"русский","шлюп",1, 0.01030
"русский","декабрист",1, 0.01030
"русский","кляча",1, 0.01030
"русский","космолетчик",1, 0.01030
"русский","гастролер",1, 0.01030
"русский","трудность",1, 0.01030
"русский","широта",1, 0.01030
"русский","череп",1, 0.01030
"русский","прозвище",1, 0.01030
"русский","барокко",1, 0.01030
"русский","гусар",1, 0.01030
"русский","цитадель",1, 0.01030
"русский","кремль",1, 0.01030
"русский","праведник",1, 0.01030
"русский","сибирь",1, 0.01030
"русский","мореплавание",1, 0.01030
"русский","праздник",1, 0.01030
"русский","шаль",1, 0.01030
"русский","восток",1, 0.01030
"русский","невеста",1, 0.01030
"русский","самодум",1, 0.01030
"русский","купечество",1, 0.01030
"русский","гром",1, 0.01030
"русский","соратник",1, 0.01030
"русский","хлебосольство",1, 0.01030
"русский","жалость",1, 0.01030
"русский","большевизм",1, 0.01030
"русский","чувство",1, 0.01030
"русский","явление",1, 0.01030
"русский","волк",1, 0.01030
"русский","мерка",1, 0.01030
"русский","попутчик",1, 0.01030
"русский","храбрость",1, 0.01030
"русский","ветер",1, 0.01030
"русский","диверсант",1, 0.01030
"русский","картограф",1, 0.01030
"русский","бастион",1, 0.01030
"русский","медик",1, 0.01030
"русский","хлебосол",1, 0.01030
"русский","лучник",1, 0.01030
"русский","голова",1, 0.01030
"русский","алеша",1, 0.01030
"русский","феллах",1, 0.01030
"русский","красноармеец",1, 0.01030
"русский","госпиталь",1, 0.01030
"русский","турок",1, 0.01030
"русский","неразбериха",1, 0.01030
"русский","охранка",1, 0.01030
"русский","игра",1, 0.01030
"русский","персонал",1, 0.01030
"русский","золото",1, 0.01030
"русский","соболь",1, 0.01030
"русский","ложка",1, 0.01030
"русский","крупки",1, 0.01030
"русский","письменность",1, 0.01030
"русский","сокровищница",1, 0.01030
"русский","попугай",1, 0.01030
"русский","горняк",1, 0.01030
"русский","перемышль",1, 0.01030
"русский","союз",1, 0.01030
"русский","золотишко",1, 0.01030
"русский","паровоз",1, 0.01030
"русский","вой",1, 0.01030
"русский","лауреат",1, 0.01030
"русский","династия",1, 0.01030
"русский","варвар",1, 0.01030
"русский","завод",1, 0.01030
"русский","флотоводец",1, 0.01030
"русский","критик",1, 0.01030
"русский","сестра",1, 0.01030
"русский","вкус",1, 0.01030
"русский","сочинитель",1, 0.01030
"русский","иаук",1, 0.01030
"русский","физика",1, 0.01030
"русский","патент",1, 0.01030
"русский","быль",1, 0.01030
"русский","пианист",1, 0.01030
"русский","набережная",1, 0.01030
"русский","завоевание",1, 0.01030
"русский","женя",1, 0.01030
"русский","васька",1, 0.01030
"русский","вывеска",1, 0.01030
"русский","трактир",1, 0.01030
"русский","знамя",1, 0.01030
"русский","зольдат",1, 0.01030
"русский","вольница",1, 0.01030
"русский","туркестан",1, 0.01030
"русский","прохожий",1, 0.01030
"русский","костер",1, 0.01030
"русский","скула",1, 0.01030
"русский","тяжеловес",1, 0.01030
"русский","красотка",1, 0.01030
"русский","балалайка",1, 0.01030
"русский","рыбешка",1, 0.01030
"русский","штрихунов",1, 0.01030
"русский","изменник",1, 0.01030
"русский","драма",1, 0.01030
"русский","железо",1, 0.01030
"русский","атлет",1, 0.01030
"русский","рубеж",1, 0.01030
"русский","кенар",1, 0.01030
"русский","индианка",1, 0.01030
"русский","наряд",1, 0.01030
"русский","засилье",1, 0.01030
"русский","картина",1, 0.01030
"русский","лафонтен",1, 0.01030
"русский","духовенство",1, 0.01030
"русский","звание",1, 0.01030
"русский","поп",1, 0.01030
"русский","спутник",1, 0.01030
"русский","линия",1, 0.01030
"русский","оружейник",1, 0.01030
"русский","ушанка",1, 0.01030
"русский","смекалка",1, 0.01030
"русский","движение",1, 0.01030
"русский","круг",1, 0.01030
"русский","тайна",1, 0.01030
"русский","китаец",1, 0.01030
"русский","словечко",1, 0.01030
"русский","капуста",1, 0.01030
"русский","правитель",1, 0.01030
"русский","комедиант",1, 0.01030
"русский","застава",1, 0.01030
"русский","орфография",1, 0.01030
"русский","фуражка",1, 0.01030
"русский","ненастье",1, 0.01030
"русский","канонир",1, 0.01030
"русский","собака",1, 0.01030
"русский","барби",1, 0.01030
"русский","румын",1, 0.01030
"русский","сани",1, 0.01030
"русский","электричество",1, 0.01030
"русский","кайтаха",1, 0.01030
"русский","желудок",1, 0.01030
"русский","ледокол",1, 0.01030
"русский","трепак",1, 0.01030
"русский","закваска",1, 0.01030
"русский","манира",1, 0.01030
"русский","наличник",1, 0.01030
"русский","спорт",1, 0.01030
"русский","дикарка",1, 0.01030
"русский","сахалин",1, 0.01030
"русский","штат",1, 0.01030
